Title,Speakers,Talk URL,Talk Thumbnail URL
Space over form in architecture,['Tan Hock Beng'],http://www.inktalks.com/discover/830/space-over-form-in-architecture,https://s3.amazonaws.com/VideoThumbnails/INKAsia2016talks/INKAsia2016_Tan-Hock-Beng.jpg
Seventy years of science,['Sydney Brenner'],http://www.inktalks.com/discover/829/sydney-brenner-seventy-years-of-science,https://s3.amazonaws.com/VideoThumbnails/INKAsia2016talks/INKAsia2016_Sydney_Brenner.jpg 
Structuring creativity,['Jesko von den Steinen'],http://www.inktalks.com/discover/828/Jesko-von-den-Steinen-structuring-creativity,https://s3.amazonaws.com/VideoThumbnails/INKAsia2016talks/INKAsia2016_Jesko-von-den-_Steinen-.jpg
Corporate resources for social good,['Patsian Low'],http://www.inktalks.com/discover/827/patsian-low-corporate-resources-for-social-good,https://s3.amazonaws.com/VideoThumbnails/INKAsia2016talks/INKAsia2016_Patsian_Low.jpg
‘Edge of Chaos’,['Emily Levine'],http://www.inktalks.com/discover/826/emily-levine-edge-of-chaos,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Emily_Levine.jpg
'The Internet of Biogas' ,['Mainak  Chakraborty'],http://www.inktalks.com/discover/825/mainak-chakraborty-the-internet-of-biogas,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Mainak_Chakraborty.jpg
Ancient chants for world peace ,['Kanniks  Kannikeswaran'],http://www.inktalks.com/discover/824/kanniks-kannikeswaran-ancient-chants-for-world-peace,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Kanniks_Kannikeswaran.jpg
Lessons from jungle innovations,['Neal Cross'],http://www.inktalks.com/discover/822/neal-cross-lessons-from-jungle-innovations,https://s3.amazonaws.com/VideoThumbnails/INKasia2015talks/INKAsia2015_Neal_Cross.jpg
Demystifying the human genome,['Venkatesh Byrappa'],http://www.inktalks.com/discover/821/venkatesh-byrappa-demystifying-the-human-genome,https://s3.amazonaws.com/VideoThumbnails/INKasia2015talks/INKAsia2015_Venkatesh_Byrappa.jpg
How to crack e-commerce,['Marcelo  Wesseler'],http://www.inktalks.com/discover/820/marcelo-wesseler-how-to-crack-e-commerce,https://s3.amazonaws.com/VideoThumbnails/INKasia2015talks/INKAsia2015_Marcelo_Wesseler.JPG
A forest in a coffee cup,['Arshiya Bose'],http://www.inktalks.com/discover/819/arshiya-bose-a-forest-in-a-coffee-cup,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Arshiya_Bose.jpg
The Maya Musical by Teach for India,['Sanaya Bharucha'],http://www.inktalks.com/discover/817/the-maya-musical-by-teach-for-india,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Sanaya_Bharucha.jpg
Mapping the heavens,['Priyamvada Natarajan'],http://www.inktalks.com/discover/816/priyamvada-natarajan-mapping-the-heavens,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Priyamvada_Natarajan.jpg
The stories we tell ourselves,['Shamim Sarif'],http://www.inktalks.com/discover/815/shamim-sarif-the-stories-we-tell-ourselves,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Shamim_Sarif.jpg
A Primer in Exponential Technologies,['Kathryn Myronuk'],http://www.inktalks.com/discover/814/kathryn-myronuk-a-primer-in-exponential-technologies,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Kathryn_Myronuk.jpg
Making a splash as a star athlete,['Sharath Gayakwad'],http://www.inktalks.com/discover/813/sharath-gayakwad-making-a-splash-as-a-star-athlete,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Sharath_Gayakwad.jpg
A magic show like you've never seen,['Marco Tempest'],http://www.inktalks.com/discover/810/marco-tempest-a-magic-show-like-you-ve-never-seen,https://s3.amazonaws.com/VideoThumbnails/INKasia2015talks/INKAsia2015_Marco_Tempest.jpg
